Rank,Club,Country,Level,Elo,From,To
None,Union Berlin,GER,1,1588.54833984,2025-02-23,2025-03-02
None,Empoli,ITA,1,1588.52941895,2025-02-24,2025-03-02
None,Guimaraes,POR,1,1587.46691895,2025-02-25,2025-03-01
None,AEK,GRE,1,1585.66943359,2025-02-24,2025-03-10
None,Reims,FRA,1,1583.96191406,2025-02-22,2025-02-28
None,Utrecht,NED,1,1581.69384766,2025-02-21,2025-03-01
None,Leganes,ESP,1,1581.46557617,2025-02-24,2025-03-02
None,Ipswich,ENG,1,1580.79541016,2025-02-23,2025-02-26
None,Antwerp,BEL,1,1577.77258301,2025-02-23,2025-03-01
None,Monza,ITA,1,1575.328125,2025-02-25,2025-03-02
None,Levante,ESP,2,1572.13134766,2025-02-24,2025-03-02
None,Gent,BEL,1,1571.69091797,2025-02-24,2025-03-01
None,Sturm Graz,AUT,1,1570.61010742,2025-02-24,2025-03-02
None,Lorient,FRA,2,1569.70385742,2025-02-23,2025-03-01
None,Oviedo,ESP,2,1569.63525391,2025-02-23,2025-03-02
None,Parma,ITA,1,1567.94140625,2025-02-23,2025-03-01
None,Almeria,ESP,2,1567.8416748,2025-02-23,2025-03-01
None,Elche,ESP,2,1567.65808105,2025-02-24,2025-03-02
None,St Pauli,GER,1,1566.73815918,2025-02-23,2025-03-01
None,Nantes,FRA,1,1566.49414062,2025-02-24,2025-03-02
None,Midtjylland,DEN,1,1564.5715332,2025-02-24,2025-03-02
None,Huesca,ESP,2,1562.79821777,2025-02-24,2025-03-01
None,Shakhtar,UKR,1,1561.81689453,2025-02-25,2025-03-10
None,Hamburg,GER,2,1560.73925781,2025-02-22,2025-03-02
None,Brondby,DEN,1,1555.35754395,2025-02-24,2025-03-03
None,Cadiz,ESP,2,1554.61328125,2025-02-24,2025-03-02
None,Dynamo Moskva,RUS,1,1552.93725586,2025-01-01,2025-03-10
None,Metz,FRA,2,1552.93310547,2025-02-23,2025-03-01
None,Montpellier,FRA,1,1552.88952637,2025-02-24,2025-03-02
None,Granada,ESP,2,1552.00817871,2025-02-23,2025-03-02
None,Koeln,GER,2,1549.96252441,2025-02-24,2025-03-01
None,Nordsjaelland,DEN,1,1548.8347168,2025-02-24,2025-02-26
None,Lok Moskva,RUS,1,1547.65649414,2025-01-01,2025-03-10
None,PAOK,GRE,1,1546.27722168,2025-02-24,2025-03-10
None,CSKA Moskva,RUS,1,1546.19458008,2025-01-01,2025-03-10
None,Bochum,GER,1,1545.65820312,2025-02-23,2025-03-01
None,Salzburg,AUT,1,1545.03503418,2025-02-23,2025-03-02
None,Venezia,ITA,1,1542.53405762,2025-02-23,2025-03-01
None,Southampton,ENG,1,1541.17272949,2025-02-26,2025-03-08
None,Sunderland,ENG,2,1540.94677734,2025-02-23,2025-02-28
None,Angers,FRA,1,1539.69311523,2025-02-23,2025-03-02
None,Mirandes,ESP,2,1537.99987793,2025-02-24,2025-03-03
None,Steaua,ROM,1,1537.1685791,2025-02-24,2025-03-02
None,Santander,ESP,2,1536.18908691,2025-02-23,2025-03-02
None,Panathinaikos,GRE,1,1535.33032227,2025-02-24,2025-03-06
None,West Brom,ENG,2,1534.98669434,2025-02-23,2025-03-01
None,Duesseldorf,GER,2,1533.96594238,2025-02-24,2025-02-28
None,Coventry,ENG,2,1531.93371582,2025-02-23,2025-03-01
None,Valladolid,ESP,1,1531.75939941,2025-02-24,2025-02-28
None,Heidenheim,GER,1,1531.50305176,2025-02-24,2025-03-01
None,Spezia,ITA,2,1528.6907959,2025-02-24,2025-02-28
None,Pisa,ITA,2,1528.63330078,2025-02-23,2025-03-10
None,Dinamo Zagreb,CRO,1,1526.81286621,2025-02-23,2025-03-10
None,Malmoe,SWE,1,1525.9041748,2025-01-31,2025-03-10
None,Aarhus,DEN,1,1525.54846191,2025-02-24,2025-02-28
None,Go Ahead Eagles,NED,1,1518.80419922,2025-02-24,2025-03-01
None,Cercle Brugge,BEL,1,1517.62109375,2025-02-24,2025-03-01
None,Norwich,ENG,2,1517.18725586,2025-02-23,2025-03-01
None,Holstein,GER,1,1514.9909668,2025-02-23,2025-03-02
None,Cremonese,ITA,2,1514.14440918,2025-02-23,2025-03-10
None,Dynamo Kyiv,UKR,1,1513.91418457,2025-02-24,2025-03-10
None,Besiktas,TUR,1,1513.75036621,2025-02-22,2025-03-01
None,Razgrad,BUL,1,1511.9786377,2025-02-23,2025-03-10
None,Famalicao,POR,1,1511.66027832,2025-02-24,2025-03-01
None,M Tel Aviv,ISR,1,1510.87353516,2025-02-23,2025-03-10
None,Paris FC,FRA,2,1509.8482666,2025-02-22,2025-02-28
None,Maccabi Haifa,ISR,1,1509.28686523,2025-02-23,2025-03-10
None,Gijon,ESP,2,1508.7923584,2025-02-23,2025-03-01
None,Rakow,POL,1,1508.44470215,2025-02-22,2025-03-10
None,Middlesbrough,ENG,2,1506.85168457,2025-02-26,2025-03-01
None,Elfsborg,SWE,1,1505.1015625,2025-01-31,2025-03-10
None,Brann,NOR,1,1504.86437988,2025-02-21,2025-03-10
None,Catanzaro,ITA,2,1503.82983398,2025-02-24,2025-03-10
None,Bristol City,ENG,2,1503.43566895,2025-02-22,2025-03-04
None,Mechelen,BEL,1,1503.42724609,2025-02-22,2025-03-02
None,Le Havre,FRA,1,1500.6619873,2025-02-24,2025-03-01
None,Karabakh Agdam,AZE,0,1500.27087402,2025-01-31,2025-03-10
None,Saint-Etienne,FRA,1,1499.88952637,2025-02-23,2025-03-01
None,Charleroi,BEL,1,1497.4666748,2025-02-23,2025-02-28
None,Leuven,BEL,1,1497.25048828,2025-02-23,2025-03-02
None,Molde,NOR,1,1497.17578125,2025-02-21,2025-03-06
None,Lech,POL,1,1496.4251709,2025-02-24,2025-03-01
None,Banik Ostrava,CZE,1,1495.14733887,2025-02-23,2025-03-01
None,Eibar,ESP,2,1494.84094238,2025-02-23,2025-02-28
None,Casa Pia,POR,1,1492.73303223,2025-02-23,2025-03-01
None,Jagiellonia,POL,1,1492.6541748,2025-02-24,2025-03-06
None,Legia,POL,1,1491.74536133,2025-02-23,2025-03-06
None,Young Boys,SUI,1,1491.54699707,2025-02-24,2025-03-02
None,Paderborn,GER,2,1491.26342773,2025-02-23,2025-03-02
None,Beer-Sheva,ISR,1,1491.18139648,2025-02-23,2025-03-10
None,Nijmegen,NED,1,1491.08508301,2025-02-24,2025-03-01
None,Blackburn,ENG,2,1485.11242676,2025-02-23,2025-03-01
None,Viking,NOR,1,1484.41540527,2025-02-21,2025-03-10
None,Arouca,POR,1,1483.28479004,2025-02-24,2025-03-01
None,Zaragoza,ESP,2,1482.18237305,2025-02-23,2025-03-01
None,Hammarby,SWE,1,1481.56970215,2025-01-31,2025-03-10
None,Watford,ENG,2,1481.41625977,2025-02-24,2025-03-01
None,Preston,ENG,2,1480.19799805,2025-02-23,2025-03-04
None,Hannover,GER,2,1478.89575195,2025-02-23,2025-03-01
None,Pogon,POL,1,1478.47717285,2025-02-23,2025-03-01
None,Millwall,ENG,2,1478.17358398,2025-02-23,2025-03-04
None,Rostov,RUS,1,1474.72924805,2025-01-01,2025-03-10
None,Austria Wien,AUT,1,1474.72460938,2025-02-23,2025-03-01
None,QPR,ENG,2,1474.15344238,2025-02-23,2025-03-01
None,Standard,BEL,1,1474.1105957,2025-02-24,2025-03-02
None,Depor,ESP,2,1473.46191406,2025-02-24,2025-03-02
None,Rijeka,CRO,1,1473.41723633,2025-02-23,2025-03-01
None,Sheffield Weds,ENG,2,1473.00976562,2025-02-22,2025-02-28
None,Albacete,ESP,2,1472.23608398,2025-02-24,2025-03-02
None,Malaga,ESP,2,1470.60583496,2025-02-22,2025-03-01
None,Hull,ENG,2,1470.18273926,2025-02-26,2025-03-04
None,Karlsruhe,GER,2,1470.10498047,2025-02-23,2025-03-01
None,Randers,DEN,1,1469.37976074,2025-02-22,2025-02-28
None,Trabzonspor,TUR,1,1469.01965332,2025-02-24,2025-03-03
None,Hajduk,CRO,1,1468.22253418,2025-02-23,2025-03-10
None,Paphos,CYP,0,1467.30212402,2025-02-21,2025-03-06
None,Djurgarden,SWE,1,1467.24035645,2025-01-31,2025-03-06
None,Magdeburg,GER,2,1467.07409668,2025-02-23,2025-03-02
None,Moreirense,POR,1,1466.85180664,2025-02-24,2025-03-02
None,CFR Cluj,ROM,1,1466.32409668,2025-02-23,2025-02-28
None,Ferencvaros,HUN,1,1466.31872559,2025-02-24,2025-03-10
None,Basel,SUI,1,1466.13415527,2025-02-23,2025-03-01
None,Rio Ave,POR,1,1465.50805664,2025-02-23,2025-03-02
None,Bueyueksehir,TUR,1,1465.2689209,2025-02-21,2025-03-03
None,Cordoba,ESP,2,1464.59960938,2025-02-23,2025-03-02
None,Servette,SUI,1,1464.19274902,2025-02-24,2025-03-01
None,Palermo,ITA,2,1464.04003906,2025-02-24,2025-03-10
None,Estoril,POR,1,1463.53918457,2025-02-23,2025-03-03
None,Silkeborg,DEN,1,1463.18359375,2025-02-25,2025-03-02
None,Lautern,GER,2,1463.12780762,2025-02-22,2025-03-01
None,Guingamp,FRA,2,1462.0723877,2025-02-22,2025-03-01
None,Bari,ITA,2,1461.90515137,2025-02-23,2025-03-10
None,Burgos,ESP,2,1461.89428711,2025-02-23,2025-03-01
None,Rapid Wien,AUT,1,1461.55664062,2025-02-24,2025-03-01
None,Santa Clara,POR,1,1461.26086426,2025-02-24,2025-03-02
None,Lugano,SUI,1,1460.30395508,2025-02-24,2025-03-02
None,Sparta Rotterdam,NED,1,1460.07971191,2025-02-21,2025-03-02
None,Rosenborg,NOR,1,1460.01281738,2025-02-21,2025-03-10
None,St Truiden,BEL,1,1458.56091309,2025-02-22,2025-03-01
None,Zwolle,NED,1,1455.0065918,2025-02-21,2025-03-02
None,Castellon,ESP,2,1454.46081543,2025-02-24,2025-03-01
None,Darmstadt,GER,2,1451.75671387,2025-02-24,2025-03-02
None,Modena,ITA,2,1451.47436523,2025-02-23,2025-03-10
None,Frosinone,ITA,2,1451.39355469,2025-02-24,2025-03-10
None,Sampdoria,ITA,2,1450.90991211,2025-02-22,2025-03-10
None,Dunkerque,FRA,2,1450.71166992,2025-02-22,2025-03-10
None,Bastia,FRA,2,1450.13037109,2025-02-22,2025-02-28
None,Juve Stabia,ITA,2,1447.40979004,2025-02-23,2025-03-10
None,Swansea,ENG,2,1445.85375977,2025-02-23,2025-03-04
None,Heerenveen,NED,1,1444.33337402,2025-02-21,2025-03-02
None,Stoke,ENG,2,1442.99975586,2025-02-26,2025-03-01
None,Portsmouth,ENG,2,1442.54943848,2025-02-23,2025-03-01
None,Wolfsberg,AUT,1,1442.40209961,2025-02-23,2025-03-01
None,Westerlo,BEL,1,1442.13562012,2025-02-23,2025-03-02
None,Clermont,FRA,2,1441.57653809,2025-02-22,2025-02-28
None,Rubin Kazan,RUS,1,1441.09082031,2025-01-01,2025-03-10
None,Elversberg,GER,2,1438.5291748,2025-02-23,2025-03-02
None,Schalke,GER,2,1438.37841797,2025-02-24,2025-02-28
None,Hertha,GER,2,1438.09387207,2025-02-22,2025-03-02
None,Mlada Boleslav,CZE,1,1438.02319336,2025-02-23,2025-03-02
None,StGallen,SUI,1,1437.90661621,2025-02-23,2025-03-01
None,Salernitana,ITA,2,1437.61071777,2025-02-24,2025-03-10
None,Laval,FRA,2,1436.67529297,2025-02-23,2025-02-28
None,Piast Gliwice,POL,1,1434.71142578,2025-02-22,2025-03-01
None,Aris,GRE,1,1434.57189941,2025-02-24,2025-03-10
None,Cesena,ITA,2,1434.00366211,2025-02-23,2025-03-10
None,Nacional,POR,1,1433.99597168,2025-02-22,2025-03-01
None,Eldense,ESP,2,1432.41625977,2025-02-24,2025-03-02
None,Jablonec,CZE,1,1432.20727539,2025-02-24,2025-03-01
None,AIK,SWE,1,1432.07177734,2025-01-31,2025-03-10
None,Nuernberg,GER,2,1431.43640137,2025-02-22,2025-03-01
None,Gil Vicente,POR,1,1431.23352051,2025-02-23,2025-03-10
None,Olimpija Ljubljana,SVN,1,1430.70361328,2025-02-21,2025-03-10
None,Luton,ENG,2,1430.22436523,2025-02-24,2025-03-01
None,Larnaca,CYP,0,1429.88916016,2025-02-21,2025-03-10
None,Samsunspor,TUR,1,1429.48181152,2025-02-23,2025-03-03
None,Gornik,POL,1,1429.11035156,2025-02-22,2025-02-28
None,Omonia,CYP,0,1428.61706543,2025-02-21,2025-03-10
None,Sittard,NED,1,1428.01196289,2025-02-24,2025-02-28
None,Brescia,ITA,2,1427.4140625,2025-02-24,2025-03-10
None,Craiova,ROM,1,1427.14465332,2025-02-23,2025-03-01
None,Annecy,FRA,2,1423.06445312,2025-02-22,2025-02-28
None,Suedtirol,ITA,2,1421.71142578,2025-02-24,2025-02-28
None,Rodez,FRA,2,1420.01062012,2025-02-22,2025-03-01
None,Cracovia,POL,1,1419.6126709,2025-02-24,2025-02-28
None,Cardiff,ENG,2,1418.95788574,2025-02-26,2025-03-04
None,Puskas Akademia,HUN,1,1417.96032715,2025-02-23,2025-03-10
None,Alanyaspor,TUR,1,1417.03369141,2025-02-24,2025-03-02
None,Kasimpasa,TUR,1,1415.22583008,2025-02-23,2025-03-02
None,Mjaellby,SWE,1,1414.18115234,2025-01-31,2025-03-10
None,Grenoble,FRA,2,1412.82421875,2025-02-22,2025-02-28
None,Haecken,SWE,1,1412.73034668,2025-01-31,2025-03-10
None,Tenerife,ESP,2,1411.92956543,2025-02-22,2025-03-03
None,Luzern,SUI,1,1411.57324219,2025-02-24,2025-03-02
None,Hradec Kralove,CZE,1,1411.33508301,2025-02-21,2025-03-01
None,LASK,AUT,1,1410.90014648,2025-02-24,2025-03-02
None,Fuerth,GER,2,1410.1842041,2025-02-24,2025-02-28
None,Viborg,DEN,1,1409.82324219,2025-02-25,2025-03-02
None,Heracles,NED,1,1409.48376465,2025-02-21,2025-03-02
None,Troyes,FRA,2,1408.41223145,2025-02-22,2025-02-28
None,Slovan Bratislava,SLK,0,1408.17773438,2025-01-30,2025-03-10
None,Oxford,ENG,2,1408.11108398,2025-02-23,2025-03-01
None,Eyupspor,TUR,1,1405.92443848,2025-02-22,2025-03-03
None,Lausanne,SUI,1,1405.22436523,2025-02-23,2025-03-01
None,Sigma Olomouc,CZE,1,1404.86047363,2025-02-23,2025-03-01
None,APOEL,CYP,0,1404.1105957,2025-02-21,2025-03-10
None,Kryliya Sovetov,RUS,1,1402.77941895,2025-01-01,2025-03-10
None,Groningen,NED,1,1402.76550293,2025-02-21,2025-03-01
None,Waalwijk,NED,1,1402.65356445,2025-02-21,2025-02-28
None,Slovan Liberec,CZE,1,1401.22338867,2025-02-24,2025-03-02
None,Rapid Bucuresti,ROM,1,1401.04858398,2025-02-25,2025-03-02
None,Hearts,SCO,1,1401.00891113,2025-02-24,2025-02-26
None,Reggiana,ITA,2,1400.42053223,2025-02-23,2025-03-10
None,Carrarese,ITA,2,1399.95117188,2025-02-23,2025-03-10
None,Zuerich,SUI,1,1397.8717041,2025-02-23,2025-03-02
None,Mantova,ITA,2,1397.84863281,2025-02-23,2025-03-10
None,AVS Futebol,POR,1,1397.53637695,2025-02-24,2025-03-02
None,Plymouth,ENG,2,1396.98742676,2025-02-23,2025-03-04
None,Dender,BEL,1,1396.61999512,2025-02-23,2025-03-01
None,Ferrol,ESP,2,1396.43566895,2025-02-23,2025-03-01
None,Cittadella,ITA,2,1393.91345215,2025-02-23,2025-03-10
None,Farense,POR,1,1393.68457031,2025-02-24,2025-03-02
None,Universitatea Cluj,ROM,1,1391.62634277,2025-02-22,2025-03-01
None,Pau,FRA,2,1391.22277832,2025-02-23,2025-02-28
None,Ajaccio,FRA,2,1390.81604004,2025-02-23,2025-03-10
None,Goeztepe,TUR,1,1389.95837402,2025-02-24,2025-03-03
None,Estrela Amadora,POR,1,1389.74157715,2025-02-24,2025-03-02
None,Willem II,NED,1,1388.42211914,2025-02-21,2025-03-02
None,Hartberg,AUT,1,1386.54370117,2025-02-24,2025-03-01
None,Levski,BUL,1,1385.20251465,2025-02-22,2025-03-10
None,Osijek,CRO,1,1384.62268066,2025-02-23,2025-03-01
None,Breda,NED,1,1384.09423828,2025-02-21,2025-03-01
None,Hibernian,SCO,1,1383.38500977,2025-02-23,2025-02-26
None,Maribor,SVN,1,1382.07275391,2025-02-23,2025-03-10
None,Tromso,NOR,1,1381.08752441,2025-02-21,2025-03-10
None,Cosenza,ITA,2,1380.10180664,2025-02-24,2025-03-10
None,Sheriff Tiraspol,MOL,0,1376.75268555,2025-01-01,2025-03-10
None,IK Sirius,SWE,1,1376.43115234,2025-01-31,2025-03-10
None,Amiens,FRA,2,1375.74963379,2025-02-22,2025-03-01
None,Fredrikstad,NOR,1,1375.7166748,2025-02-21,2025-03-10
None,Derby,ENG,2,1375.62255859,2025-02-23,2025-03-01
None,Trnava,SLK,0,1375.41516113,2025-01-30,2025-03-10
None,Muenster,GER,2,1374.86035156,2025-02-23,2025-02-28
None,Terek Grozny,RUS,1,1373.49609375,2025-01-01,2025-03-10
None,Sepsi,ROM,1,1371.76062012,2025-02-25,2025-02-28
None,Konyaspor,TUR,1,1371.39880371,2025-02-23,2025-03-03
None,Slovacko,CZE,1,1370.86755371,2025-02-21,2025-03-02
None,Antalyaspor,TUR,1,1370.7565918,2025-02-23,2025-03-02
None,Gaziantep FK,TUR,1,1370.5567627,2025-02-24,2025-03-03
None,Rizespor,TUR,1,1370.53625488,2025-02-23,2025-03-02
None,Paksi,HUN,1,1369.79394531,2025-02-23,2025-03-10
None,Ruzomberok,SLK,0,1369.51293945,2025-01-30,2025-03-10
None,Sarpsborg,NOR,1,1369.22729492,2025-02-21,2025-03-10
None,Sivasspor,TUR,1,1368.72070312,2025-02-23,2025-03-03
None,Celje,SVN,1,1368.15917969,2025-02-24,2025-03-06
None,Fakel Voronezh,RUS,1,1367.53063965,2025-01-01,2025-03-10
None,Cherno More,BUL,1,1367.43579102,2025-02-23,2025-03-10
None,Bohemians Praha,CZE,1,1366.54199219,2025-02-24,2025-03-02
None,Stromsgodset,NOR,1,1364.28491211,2025-02-21,2025-03-10
None,Cartagena,ESP,2,1363.75500488,2025-02-24,2025-02-28
None,Hapoel Haifa,ISR,1,1362.31567383,2025-02-25,2025-03-10
None,Korona,POL,1,1360.88806152,2025-02-23,2025-03-01
None,Braunschweig,GER,2,1360.72973633,2025-02-24,2025-03-01
None,Katowice,POL,1,1359.52905273,2025-02-25,2025-03-10
None,Lok Zagreb,CRO,1,1359.22351074,2025-02-22,2025-02-28
None,Almere,NED,1,1358.25427246,2025-02-23,2025-03-02
None,Olexandriya,UKR,1,1356.10534668,2025-02-24,2025-03-10
None,Ulm,GER,2,1354.94641113,2025-02-23,2025-03-01
None,FK Astana,KAZ,0,1354.60595703,2025-01-01,2025-03-10
None,Orenburg,RUS,1,1353.33227539,2025-01-01,2025-03-10
None,Beitar,ISR,1,1350.57067871,2025-02-22,2025-03-10
None,Stal Mielec,POL,1,1349.79589844,2025-02-22,2025-03-01
None,Akron Togliatti,RUS,1,1349.65771484,2025-01-01,2025-03-10
None,Slask,POL,1,1348.71105957,2025-02-23,2025-03-10
None,Red Star,FRA,2,1348.03735352,2025-02-22,2025-03-01
None,Caen,FRA,2,1346.84350586,2025-02-23,2025-02-28
None,Partizan,SRB,1,1346.43530273,2025-02-23,2025-02-26
None,Kayseri,TUR,1,1345.02209473,2025-02-24,2025-03-01
None,Kilmarnock,SCO,1,1344.06689453,2025-02-23,2025-02-26
None,Boavista,POR,1,1342.75891113,2025-02-23,2025-03-02
None,Kortrijk,BEL,1,1342.10253906,2025-02-24,2025-03-01
None,Puszcza Niepolomice,POL,1,1341.01660156,2025-02-24,2025-03-10
None,Viitorul,ROM,1,1340.60400391,2025-02-25,2025-03-01
None,Teplice,CZE,1,1340.33984375,2025-02-23,2025-03-01
None,Lubin,POL,1,1339.56396484,2025-02-24,2025-03-01
None,Beerschot AC,BEL,1,1338.02416992,2025-02-23,2025-03-02
None,St Mirren,SCO,1,1337.80822754,2025-02-23,2025-02-26
None,Aberdeen,SCO,1,1336.71459961,2025-02-26,2025-03-02
None,Klagenfurt,AUT,1,1336.67419434,2025-02-23,2025-03-02
None,Varnamo,SWE,1,1336.52233887,2025-01-31,2025-03-10
None,OFI,GRE,1,1336.47521973,2025-02-23,2025-03-10
None,Sion,SUI,1,1336.17614746,2025-02-24,2025-03-01
