Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2014.81518555,2025-03-14,2025-04-02
2,Arsenal,ENG,1,1995.3996582,2025-03-14,2025-03-16
3,Real Madrid,ESP,1,1958.63916016,2025-03-14,2025-03-15
4,Paris SG,FRA,1,1953.05053711,2025-03-14,2025-03-16
5,Inter,ITA,1,1952.58642578,2025-03-14,2025-03-16
6,Barcelona,ESP,1,1937.57006836,2025-03-14,2025-03-16
7,Bayern,GER,1,1928.140625,2025-03-14,2025-03-15
8,Man City,ENG,1,1921.5189209,2025-03-14,2025-03-15
9,Atletico,ESP,1,1881.95422363,2025-03-14,2025-03-16
10,Leverkusen,GER,1,1877.43127441,2025-03-14,2025-03-16
11,Atalanta,ITA,1,1869.37353516,2025-03-14,2025-03-16
12,Chelsea,ENG,1,1853.2734375,2025-03-14,2025-03-16
13,Newcastle,ENG,1,1836.78381348,2025-03-14,2025-04-02
14,Napoli,ITA,1,1836.70080566,2025-03-14,2025-03-16
15,Aston Villa,ENG,1,1821.5255127,2025-03-14,2025-04-02
16,Juventus,ITA,1,1818.78527832,2025-03-14,2025-03-16
17,Bilbao,ESP,1,1810.2409668,2025-03-14,2025-03-16
18,Crystal Palace,ENG,1,1808.42773438,2025-03-14,2025-04-02
19,Tottenham,ENG,1,1805.86071777,2025-03-14,2025-03-16
20,Bournemouth,ENG,1,1804.70666504,2025-03-14,2025-03-15
21,Forest,ENG,1,1800.19616699,2025-03-14,2025-03-15
22,Brighton,ENG,1,1797.78137207,2025-03-14,2025-03-15
23,Lazio,ITA,1,1792.69042969,2025-03-14,2025-03-16
24,Man United,ENG,1,1785.16906738,2025-03-14,2025-03-16
25,Lille,FRA,1,1784.51086426,2025-03-14,2025-03-15
26,PSV,NED,1,1783.88830566,2025-03-14,2025-03-15
27,Roma,ITA,1,1783.35400391,2025-03-14,2025-03-16
28,Dortmund,GER,1,1782.90490723,2025-03-14,2025-03-15
29,Milan,ITA,1,1775.86279297,2025-03-14,2025-03-15
30,Sporting,POR,1,1773.46875,2025-03-14,2025-03-15
31,Fulham,ENG,1,1772.11340332,2025-03-14,2025-03-16
32,Benfica,POR,1,1771.17333984,2025-03-14,2025-03-16
33,Bologna,ITA,1,1771.05187988,2025-03-14,2025-03-16
34,Villarreal,ESP,1,1763.390625,2025-03-14,2025-03-15
35,Brentford,ENG,1,1758.22351074,2025-03-14,2025-03-15
36,Lyon,FRA,1,1756.77770996,2025-03-14,2025-03-16
37,Everton,ENG,1,1752.95288086,2025-03-14,2025-03-15
38,Monaco,FRA,1,1752.09631348,2025-03-14,2025-03-15
39,Fiorentina,ITA,1,1748.38793945,2025-03-14,2025-03-16
40,Marseille,FRA,1,1739.31835938,2025-03-14,2025-03-16
41,Mainz,GER,1,1738.87194824,2025-03-14,2025-03-15
42,West Ham,ENG,1,1737.12939453,2025-03-14,2025-03-15
43,Frankfurt,GER,1,1734.69006348,2025-03-14,2025-03-16
44,RB Leipzig,GER,1,1734.125,2025-03-14,2025-03-15
45,Betis,ESP,1,1734.00134277,2025-03-14,2025-03-16
